id,theta_x,theta_y
0,-0.6000575927029059,-0.8588391324454997
1,-0.6252315440637062,-0.891604104810202
2,-0.6361536407398906,-0.9297290545910475
3,-0.6298042878779812,-0.9445443854967627
4,-0.6215962229957684,-0.9473028104943116
5,-0.6164104698264792,-0.9479564027535643
6,-0.618214409357243,-0.9503823118616774
7,-0.6244307399400739,-0.9411188400724735
8,-0.61669485321977,-0.9404391166945912
9,-0.6142684904992377,-0.9354557667488246
10,-0.6116368682013008,-0.9303258979908466
11,-0.6077668802386995,-0.9496623786893768
12,-0.5986697053175492,-0.9712547310413975
13,-0.6023953355370769,-1.0157389536197163
14,-0.6014174002405027,-1.071915033713841
15,-0.6009529726553144,-1.1073824234048988
16,-0.6302976960254282,-1.1267630486947868
17,-0.6976066449717497,-1.1427004487779633
18,-0.7610103192770925,-1.151498907699784
19,-0.8972215348834262,-1.1627446582146246
20,-1.0731517180976817,-1.1807745020044222
21,-1.1580464179565617,-1.2021006645479702
22,-1.1892141745894107,-1.2268737750254815
23,-1.223869881532744,-1.248002578111553
24,-1.2749842443248829,-1.2738001532323762
25,-1.300984195811794,-1.2827166741551768
26,-1.3416365002569988,-1.2880105759768503
27,-1.408341342838374,-1.3018396654895144
28,-1.4396124477617438,-1.3147135178968823
29,-1.4648482539197674,-1.3291707706005311
30,-1.4993445493814164,-1.3303331326152164
31,-1.5337909721284984,-1.3298087096783722
32,-1.564367661878956,-1.3286126016380497
33,-1.5708163130997328,-1.3217285816866697
34,-1.5854876689352784,-1.321527442754309
35,-1.5924400524922482,-1.3064443687857177
36,-1.5915835322273761,-1.2781161117535955
37,-1.585411689676348,-1.2434153605663272
38,-1.5776856115463775,-1.2113748330002274
39,-1.569469209394696,-1.1859486815456506
40,-1.557072040400882,-1.1637411417477674
41,-1.5220830402215686,-1.1585443631167716
42,-1.4649212718099076,-1.1603917862072373
43,-1.384316015463833,-1.1527936795697005
44,-1.3365353847699637,-1.1525513042374114
45,-1.28850757015699,-1.1381207935190314
46,-1.2314401748598305,-1.1297363268168028
47,-1.1998272349178498,-1.1086768371303424
48,-1.1580812843191122,-1.0759596591291114
49,-1.098934632463279,-0.9260430110486835
50,-1.009293932048823,-0.7674809381214354
51,-0.8858503467063324,-0.7107828787793418
52,-0.6898917435987216,-0.5407863141219126
53,-0.38666086611896183,-0.33536533097322635
54,-0.09504201813041367,-0.1230140497052247
55,-0.09528680093018405,0.14092046627832044
56,-0.0993942162857245,0.2778932293760328
57,-0.09220278573031086,0.43855750357476414
58,-0.08465097976119808,0.5964406657639756
59,-0.01792095184637397,0.7056428022388632
60,0.026900832284759004,0.7896269115486548
